Vigencia Presupuestal;Identificación de la Entidad;Nombre de la Entidad;NIT del Ejecutor del proyecto de Inversión;Identificación del proyecto de Inversión;Nombre del proyecto de Inversión;Código del recurso presupuestal;Descripción del recurso presupuestal;Código del Fondo;Descripción del Fondo;Fecha de registro;Estado;Causal de No Validación;ene-01;feb-01;mar-01;abr-01;may-01;jun-01;jul-01;ago-01;sep-01;oct-01;nov-01;dic-01;ene-02;feb-02;mar-02;abr-02;may-02;jun-02;jul-02;ago-02;sep-02;oct-02;nov-02;dic-02;Meses Posteriores
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IA-3202-0900-2024-27250-0001;REFORESTACIÓN PROTECTORA DE LAS ZONAS DEGRADADAS POR LA TALA DE ÁRBOLES INDISCRIMINADAS EN EL MUNICIPIO DE EL LITORAL DEL SAN JUAN DEPARTAMENTO DEL CHOCÓ;IA27250;INVERSIÓN LOCAL AMB. Y DES. SOSTENIBLE EL LITORAL DEL SAN JUAN - CHOCÓ;AILA;ASIGNACION PARA LA INVERSION LOCAL - AMBIENTE Y DESARROLLO SOSTENIBLE;2025-01-22 17:32:04;Validado;;0,00;111061619,34;12780133,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2201-0700-2023-18001-0027;MEJORAMIENTO Y DOTACIÓN DE LA INFRAESTRUCTURA EDUCATIVA DIVINO NIÑO MUNICIPIO DE FLORENCIA DEPARTAMENTO DEL CAQUETÁ;IL18001;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT FLORENCIA - CAQUETÁ;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:32:58;Validado;;0,00;0,00;261630987,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-4301-1604-2023-18753-0056;CONSTRUCCIÓN ADECUACIÓN Y MEJORAMIENTO DE PLACAS DEPORTIVAS EN ZONA URBANA DEL MUNICIPIO DE SAN VICENTE DEL CAGUÁN DEPARTAMENTO DE CAQUETÁ;IL18753;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT SAN VICENTE DEL CAGUÁN - CAQUETÁ;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:34:17;Registrado;;0,00;0,00;65398252,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2402-0600-2023-18785-0043;CONSTRUCCIÓN DE BOX CULVERTS PARA EL MEJORAMIENTO DE LA MOVILIDAD DE LOS HABITANTES DEL MUNICIPIO DE SOLITA DEPARTAMENTO DEL CAQUETÁ;IL18785;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT SOLITA - CAQUETÁ;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:34:43;Registrado;;0,00;0,00;70754329,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-4002-1400-2023-19142-0111;CONSTRUCCIÓN URBANISMO PLAZA DE MERCADO MUNICIPIO DE CALOTO DEPARTAMENTO DEL CAUCA;IL19142;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT CALOTO - CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:35:37;Validado;;0,00;51353720,03;121859530,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-4302-1604-2023-00319-0084;MEJORAMIENTO DEL POLIDEPORTIVO (PRIMERA ETAPA) DEL CASCO URBANO DEL MUNICIPIO DE GUACHENÉ DEPARTAMENTO DEL CAUCA;IL19300;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT GUACHENÉ - CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:36:35;Registrado;;0,00;0,00;1668733344,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-4301-1604-2024-19450-0026;CONSTRUCCIÓN POLIDEPORTIVO CUBIERTO EN LA VEREDA LOS PLANES EN EL MUNICIPIO DE MERCADERES CAUCA. MERCADERES MERCADERES MERCADERES;IL19450;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT MERCADERES - CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:37:43;Validado;;0,00;0,00;838998999,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2402-0600-2021-27250-0003;PAVIMENTACIÓN TIPO PLACA HUELLA EN LAS COMUNIDADES DE CUCURRUPI ISLA MONO Y BALSALITO EN EL MUNICIPIO LITORAL DEL SAN JUAN CHOCÓ;IL27250;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT EL LITORAL DEL SAN JUAN - CHOCÓ;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:41:16;Registrado;;0,00;0,00;399290795,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-4301-1604-2024-27450-0029;CONSTRUCCIÓN DE ESCENARIO RECREO-DEPORTIVO (PLACA POLIDEPORTIVA Y PARQUE) EN LA COMUNIDAD INDÍGENA DE LA LERMA MUNICIPIO DE MEDIO SAN JUAN;IL27450;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT MEDIO SAN JUAN - CHOCÓ;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:42:35;Registrado;;0,00;0,00;136751076,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-4301-1604-2024-27450-0046;CONSTRUCCIÓN DE COLISEO CUBIERTO EN ANDAGOYA CABECERA MUNICIPAL DEL MUNICIPIO DE MEDIO SAN JUAN;IL27450;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT MEDIO SAN JUAN - CHOCÓ;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:43:00;Registrado;;0,00;0,00;241004342,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
